Aast,64,64001
Abainville,55,55001
Abancourt,59,59001
Abancourt,60,60001
Abaucourt,54,54001
Abaucourt-Hautecourt,55,55002
Abbans-Dessous,25,25001
Abbans-Dessus,25,25002
Abbaretz,44,44001
Abbenans,25,25003
Abbeville,80,80001
Abbeville-Saint-Lucien,60,60003
Abbécourt,02,2001
Abbécourt,60,60002
Abbéville-la-Rivière,91,91001
Abbéville-lès-Conflans,54,54002
Abbévillers,25,25004
Abeilhan,34,34001
Abelcourt,70,70001
Abergement-la-Ronce,39,39001
Abergement-le-Grand,39,39002
Abergement-le-Petit,39,39003
Abergement-lès-Thésy,39,39004
Abidos,64,64003
Abilly,37,37001
Abitain,64,64004
Abjat-sur-Bandiat,24,24001
Ablain-Saint-Nazaire,62,62001
Ablaincourt-Pressoir,80,80002
Ablainzevelle,62,62002
Ablancourt,51,51001
Ableiges,95,95002
Ableuvenettes,88,88001
Ablis,78,78003
Ablon,14,14001
Ablon-sur-Seine,94,94001
Aboncourt,54,54003
Aboncourt,57,57001
Aboncourt-Gesincourt,70,70002
Aboncourt-sur-Seille,57,57002
Abondance,74,74001
Abondant,28,28001
Abos,64,64005
Aboën,42,42001
Abreschviller,57,57003
Abrest,03,3001
Abrets,38,38001
Abriès,05,5001
Abscon,59,59002
Abymes,971,97101
Abzac,16,16001
Abzac,33,33001
Abère,64,64002
Accolans,25,25005
Accolay,89,89001
Accons,07,7001
Accous,64,64006
Achain,57,57004
Achen,57,57006
Achenheim,67,67001
Achery,02,2002
Acheux-en-Amiénois,80,80003
Acheux-en-Vimeu,80,80004
Acheville,62,62003
Achey,70,70003
Achicourt,62,62004
Achiet-le-Grand,62,62005
Achiet-le-Petit,62,62006
Achun,58,58001
Achy,60,60004
Achères,18,18001
Achères,78,78005
Achères-la-Forêt,77,77001
Acigné,35,35001
Aclou,27,27001
Acon,27,27002
Acoua,976,97601
Acq,62,62007
Acqueville,14,14002
Acqueville,50,50001
Acquigny,27,27003
Acquin-Westbécourt,62,62008
Acy,02,2003
Acy-Romance,08,8001
Acy-en-Multien,60,60005
Adaincourt,57,57007
Adainville,78,78006
Adam-lès-Passavant,25,25006
Adam-lès-Vercel,25,25007
Adamswiller,67,67002
Adast,65,65001
Adelange,57,57008
Adelans-et-le-Val-de-Bithaine,70,70004
Adervielle-Pouchergues,65,65003
Adilly,79,79002
Adinfer,62,62009
Adissan,34,34002
Adjots,16,16002
Adon,45,45001
Adrets,38,38002
Adrets-de-l'Estérel,83,83001
Adriers,86,86001
Adé,65,65002
Afa,2A,2A001
Affieux,19,19001
Affléville,54,54004
Affoux,69,69001
Affracourt,54,54005
Affringues,62,62010
Agassac,31,31001
Agde,34,34003
Agel,34,34004
Agen,47,47001
Agen-d'Aveyron,12,12001
Agencourt,21,21001
Agenville,80,80005
Agenvillers,80,80006
Ageux,60,60006
Ageville,52,52001
Agey,21,21002
Aghione,2B,2B002
Agincourt,54,54006
Agmé,47,47002
Agnac,47,47003
Agnat,43,43001
Agneaux,50,50002
Agnetz,60,60007
Agnez-lès-Duisans,62,62011
Agnicourt-et-Séchelles,02,2004
Agnin,38,38003
Agnières,62,62012
Agnières-en-Dévoluy,05,5002
Agnos,64,64007
Agny,62,62013
Agon-Coutainville,50,50003
Agonac,24,24002
Agonges,03,3002
Agonès,34,34005
